书名,出版信息,当前价格,星级,评论数
 Python机器学习和图像处理实战 面部识别、目标检测和模式识别 帮助读者深入了解基于Python实现的机器学习与神经网络之上的图像处理方法与算法，多种库的应用和实时用例的机器学习实现。,[印]希曼舒?辛格(Himanshu Singh) 著，骆铃 译 /2019-12-08  /清华大学出版社,?34.90,width: 80%;,296条评论
 Python机器学习实战案例 典型案例：利用典型的案例，深入浅出，方便理解 实战性强：结合具体的企业应用案例，详细解析项目思路 内容具体：给出详细的Python实现代码、数据以及对应的分析,赵卫东 董亮 /2019-12-01  /清华大学出版社,?19.50,width: 100%;,101条评论
 美团机器学习实践 人工智能机器学习算法落地实践指南 内容涵盖搜索 推荐 风控 计算广告 图像处理等领域 展示美团技术底蕴 系统阐述大型互联网公司机器学习真实场景实践,美团算法团队 /2018-08-01  /人民邮电出版社,?55.60,width: 90%;,1957条评论
 机器学习实践指南 机器学习实战,［英］阿图尔?特里帕蒂 /2017-03-30  /机械工业出版社,?62.40,width: 100%;,53条评论
 机器学习基础 建模与问题求解 ,[韩] 金升渊，[韩] 郑容朱 /2020-07-01  /人民邮电出版社,?47.60,width: 0%;,34条评论
 机器学习算法与应用（微课视频版） 40个综合实例+200分钟微课视频，详述对机器学习算法的嵌入式应用及在ARM和FPGA平台的并行加速实现,杨云、段宗涛 /2020-07-01  /清华大学出版社,?39.50,width: 0%;,1条评论
 对抗机器学习 聚焦安全机器学习：复盘现有的攻击方式，包含垃圾邮件、隐私泄露等实际案例，揭示深度学习系统面临的新漏洞,[美] 安东尼?D. 约瑟夫（Anthony D. Joseph） 布莱恩?尼尔森 /2020-08-20  /机械工业出版社,?77.60,width: 0%;,0条评论
 机器学习导论（原书第2版） Springer人工智能三大重点导论之一，全新修订，浅显易懂，速学入门实战基础人工智能书籍入门深度学习人工神经网络决策树遗传算法集成学习多标签学习无监督学习书籍图书,米罗斯拉夫.库巴特 /2018-10-10  /机械工业出版社,?62.40,width: 100%;,125条评论
 MATLAB机器学习 ,[意]朱塞佩?恰布罗(Giuseppe Ciaburro) /2020-05-01  /人民邮电出版社,?34.50,width: 100%;,102条评论
 Python编程从数据分析到机器学习实践（微课视频版） 手机扫码看608分钟同步视频讲解+全书源代码+PPT课件+习题实验，Python3.7编程进阶图书，人工智能、机器学习、数据处理、科学计算、云开发、网络爬虫,刘瑜 著 /2020-02-01  /水利水电出版社,?49.90,width: 80%;,400条评论
 机器学习基础：从入门到求职 根据知名企业算法岗的面试经验，从学习笔记中提炼而成。可以带你快速入门并应用机器学习，手推算法模型原理，走近机器学习求职的起点。,胡欢武 /2019-03-01  /电子工业出版社,?39.60,width: 90%;,502条评论
 人工智能与机器学习（21世纪通识教育系列教材） ,王秋月 覃雄派 赵素云 张静 /2020-01-02  /中国人民大学出版社,?29.80,width: 60%;,72条评论
 Python机器学习算法: 原理、实现与案例 算法原理、数学推导、代码实现、项目实战写给初学者的机器学习算法入门书,刘硕 /2019-11-01  /清华大学出版社,?31.10,width: 100%;,167条评论
 R语言机器学习：实用案例分析 本书将带你踏上数据驱动的旅程，帮助你理解R语言和机器学习的基础知识，建立你自己的动态算法来成功地处理复杂的现实世界问题,"[印]拉格哈夫?巴利（Raghav Bali）,迪潘简?撒卡尔 /2017-06-08  /机械工业出版社",?46.60,width: 100%;,121条评论
 机器学习从入门到入职――用sklearn与keras搭建人工智能模型 ,张威 /2020-01-01  /电子工业出版社,?78.20,width: 80%;,127条评论
 机器学习：基于约束的方法 深度学习“花书”作者、图领奖得主Yoshua Bengio推荐！本书从全新的视角诠释了机器学习的基本模型和算法，重点讨论了当前的两项研究热点：神经网络和核方法,[意大利]马可?戈里（Marco Gori） /2020-08-20  /机械工业出版社,?99.20,width: 0%;,0条评论
 机器学习：贝叶斯和优化方法（英文版） 畅读原版机器学习经典著作，在全景式知识体系中融会传统与创新算法,（希）西格尔斯?西奥多里蒂斯 /2017-05-22  /机械工业出版社,?212.50,width: 100%;,382条评论
 机器学习系统 Cloudera 公司的数据科学主管Sean Owen作序推荐！一本介绍介绍机器学习、反应式系统和反应式机器学习，使用Scala、Spark 和Akka构建大规模机器学习系统的实用指南。,[美]杰夫?史密斯(Jeff Smith) 著；潘海为，张春新 译 /2019-09-01  /清华大学出版社,?26.90,width: 100%;,119条评论
 基于机器学习的数据缺失值填补：理论与方法 资深专家多年研究和实践经验，创新性提出基于神经网络和TS模型的填补方法，大幅提升缺失值填补效率,赖晓晨 张立勇 刘辉 吴霞 /2020-09-10  /机械工业出版社,?54.50,width: 0%;,0条评论
 视觉机器学习20讲 12位博士集体智慧的结晶，理论与实践**结合,谢剑斌 等编著 /2015-06-01  /清华大学出版社,?22.10,width: 90%;,835条评论
 Julia机器学习核心编程：人人可用的高性能科学计算 ,朱红庆 /2019-09-01  /电子工业出版社,?70.30,width: 80%;,84条评论
 机器学习的数学理论 涵盖机器学习的各种数学理论，面向专业人士,[中] 史斌（Bin Shi） [美] S.S.艾扬格（S.S.Iyengar） /2020-08-03  /机械工业出版社,?47.60,width: 0%;,5条评论
 分布式机器学习：算法、理论与实践 微软亚洲研究院机器学习研究团队所著，刘铁岩博士领衔撰写！全面阐述分布式机器学习算法、理论及实践的著作。全彩印刷！人工智能大牛周志华教授倾情推荐！联邦学习进阶必读！,刘铁岩 陈薇 王太峰 高飞 /2018-10-11  /机械工业出版社,?62.20,width: 100%;,1528条评论
 对抗机器学习：机器学习系统中的攻击和防御 讨论机器学习中的安全性问题，即讨论各种干扰机器学习系统输出正确结果的攻击方法以及对应的防御方法。,"[美]叶夫提尼?沃罗见琴科（Yevgeniy Vorobeychik）,穆拉特 /2019-12-12  /机械工业出版社",?48.20,width: 100%;,143条评论
 TensorFlow机器学习实战指南（原书第2版） 资深数据科学家撰写，从实战角度系统讲解TensorFlow基本概念及各种应用实践 真实的应用场景和数据，丰富的代码实例，详尽的操作步骤，为你深度实践TensorFlow提供翔实指导,[美] 尼克?麦克卢尔（Nick McClure） /2019-07-25  /机械工业出版社,?62.20,width: 90%;,137条评论
 终身机器学习（原书第2版） ACM、AAAI和IEEE会士、伊利诺伊大学芝加哥分校刘兵教授和谷歌年轻研究员陈志源合作的全新力作。介绍持续学习这种高级机器学习范式的重要研究成果和新思想,[美]陈志源 刘兵 著 陈健 译 /2019-08-14  /机械工业出版社,?62.40,width: 100%;,234条评论
 机器学习即服务：将Python机器学习创意快速转变为云端Web应用程序 谷歌云和Salesforce*合作伙伴SpringML数据科学副总裁领衔撰写，讲述如何将机器学习创意快速转变为云端应用程序。,[美]曼纽尔?阿米纳特吉（Manuel Amunategui）迈赫迪?洛佩伊 /2019-06-13  /机械工业出版社,?69.20,width: 100%;,118条评论
 Python机器学习核心算法编程实例 ,丁伟雄 /2020-01-01  /电子工业出版社,?61.60,width: 0%;,86条评论
 机器学习精讲：基础、算法及应用 ,[美] 杰瑞米?瓦特， 雷萨?博哈尼， 阿格洛斯?K.卡萨格罗斯 /2018-11-01  /机械工业出版社,?54.50,width: 90%;,451条评论
 机器学习实践：数据科学应用与工作流的开发及优化 这本实用书籍同时介绍了机器学习和数据科学，填补了数据科学家和工程师之间的空白,"[美]安德鲁?凯莱赫（Andrew Kelleher）,亚当?凯莱赫（Adam K /2020-04-21  /机械工业出版社",?69.20,width: 100%;,29条评论
 机器学习互联网业务安全实践 ,王帅 /2019-09-01  /电子工业出版社,?101.10,width: 90%;,117条评论
 机器学习的PAC-Bayes理论评价及应用 ,汤莉 /2019-09-01  /西安电子科技大学出版社,?33.70,width: 0%;,16条评论
 从机器学习到无人驾驶 以机器学习为出发点，结合深度神经网络算法和强化学习算法详细介绍自动驾驶模块的开发方法,宋哲贤 /2020-05-01  /清华大学出版社,?49.50,width: 0%;,39条评论
 机器学习实战：基于Sophon平台的机器学习理论与实践 星环科技人工智能平台团队实战总结，机器学习的实战书籍，既能了解人工智能相关的算法原理，也能结合可落地的具体应用场景进行实战。,星环科技人工智能平台团队 编著 /2019-12-10  /机械工业出版社,?55.20,width: 100%;,32条评论
 R语言机器学习 第2版（影印版） ,(美)布雷特?兰茨 /2017-04-01  /东南大学出版社,?68.70,width: 0%;,40条评论
 统计机器学习导论（英文版） 统计机器学习导论（英文版）,[日]杉山将（Masashi Sugiyama） /2018-01-12  /机械工业出版社,?101.20,width: 100%;,77条评论
 GO语言机器学习实战 简化机器学习难度，深入GO语言应用,[澳]周轩逸（Xuanyi Chew） /2020-04-10  /机械工业出版社,?62.40,width: 100%;,98条评论
 机器学习算法框架实战：Java和Python实现 以一个自研机器学习算法框架的构建为主线，首先介绍了机器学习算法的实践,麦嘉铭 /2020-07-16  /机械工业出版社,?47.60,width: 0%;,114条评论
 Keras深度学习 人工智能机器学习技术丛书 一本书从Python编程入门到Keras深度学习实战。300余张插图、26000余行代码、10种常用Python数据结构，5种主流数据分析工具，5个综合实战案例，赠全书源代码,鲁睿元 祝继华 编著 /2019-11-01  /水利水电出版社,?44.50,width: 100%;,323条评论
 快乐机器学习 ,王圣元 /2020-01-01  /电子工业出版社,?53.00,width: 100%;,352条评论
 基于机器学习的精准扶贫问题分析与对策 ,刘辉 刘阳 张冉 /2020-08-17  /科学技术文献出版社,?27.00,width: 0%;,0条评论
 统计机器学习导论 日本机器学习领军人物杉山将的著作，基础知识全面，,［日］ 杉山将 /2018-05-05  /机械工业出版社,?70.30,width: 100%;,323条评论
 机器学习算法实践――推荐系统的协同过滤理论及其应用 本书提出一系列改进协同过滤推荐质量的方法，并将相关算法应用于实际，意义非凡！,王建芳 /2018-11-01  /清华大学出版社,?31.10,width: 100%;,299条评论
 Spark机器学习实战 提供Apache Spark机器学习API的全面解决方案，步骤清晰，讲解细致，帮助读者学习实用的机器学习算法，并用Spark快速动手实践,[美]西亚玛克?阿米尔霍吉（Siamak Amirghodsi） /2020-09-01  /人民邮电出版社,?88.30,width: 0%;,0条评论
 阿里云天池大赛赛题解析――机器学习篇（算法竞赛之利器） 揭开人工智能算法的神秘面纱，透析大赛专业选手的解题思路。中国工程院院士戴琼海、阿里巴巴副总裁贾扬清等倾力推荐！,天池平台 /2020-09-01  /电子工业出版社,?54.50,width: 0%;,0条评论
 从机器学习到深度学习：基于scikit-learn与TensorFlow的高效开发实战 场景式学习，全面覆盖机器学习深度学习强化学习深度强化学习及模型的迁移学习，没有机器学习专业基础也能够上手设计与开发机器学习产品，内容全面，深入浅出，工具多样，案例丰富，授人以渔,刘长龙 /2019-03-01  /电子工业出版社,?44.10,width: 90%;,432条评论
 机器学习及其应用 运用朴实的语言，在每个章节穿插相应的应用实例,汪荣贵 杨娟 薛丽霞 /2019-08-26  /机械工业出版社,?75.70,width: 100%;,34条评论
 机器学习：Go语言实现 111,（美）丹尼尔?怀特纳克（Daniel Whitenack） /2018-11-05  /机械工业出版社,?46.60,width: 100%;,140条评论
 机器学习与深度学习：通过C语言模拟 机器学习的入门指南,小高知宏 /2018-06-29  /机械工业出版社,?46.60,width: 90%;,211条评论
 机器学习实践应用 人工智能触手可及 让数据起舞 用算法扩展业务边界 阿里机器学习专家力作 实战经验分享,李博 /2017-06-01  /人民邮电出版社,?46.30,width: 90%;,659条评论
 机器学习在线：解析阿里云机器学习平台 ,杨旭 著 /2017-08-01  /电子工业出版社,?62.40,width: 90%;,629条评论
 机器学习与大数据技术 结合机器学习、大数据、深度学习、图形图像处理、人工智能、Python，结合实际应用,牟少敏 /2018-08-01  /人民邮电出版社,?35.00,width: 90%;,72条评论
 机器学习与R语言(机器学习领域专家著作 核心理论与实践案例结合 全面介绍多种重要的机器学习算法和案例分析) ,（美）兰兹 著，李洪成，许金炜，李舰 译 /2015-03-01  /机械工业出版社,?54.50,width: 100%;,913条评论
 SQL机器学习库MADlib技术解析 掌握MADlib，使用SQL快速实现机器学习,王雪迎 /2019-01-14  /清华大学出版社,?35.60,width: 100%;,61条评论
 构建机器学习应用（影印版） ,[法] 伊曼纽尔?阿米森 著 /2020-08-01  /东南大学出版社,?61.40,width: 0%;,0条评论
 机器学习及应用（在线实验+在线自测） ,李克清 时允田 /2019-05-01  /人民邮电出版社,?47.70,width: 100%;,24条评论
 基于R语言的机器学习 ,[美]斯科特（Scott V. Burger） /2018-12-12  /中国电力出版社,?29.00,width: 90%;,350条评论
 量子机器学习中数据挖掘的量子计算方法 ,"[加]彼得?维特克（Peter,Wittek） 著; 张毅，王璐璐 译 /2019-12-01  /哈尔滨工业大学出版社",?59.20,width: 0%;,39条评论
 机器视觉与机器学习 算法原理 框架应用与代码实现 让机器能像人一样“看懂”图像，理解图像中的含义，解决人工智能领域关键问题,宋丽梅 朱新军 编著 /2020-06-12  /机械工业出版社,?81.40,width: 100%;,43条评论
 利用机器学习开发算法交易系统 机器学习 算法交易 利用数学理论 创建预测模型 处理数据 从数据爬取到系统构建实操 提供易于掌握的学习指南,[韩]安明浩 /2019-05-01  /人民邮电出版社,?34.50,width: 100%;,162条评论
 多智能体机器学习：强化学习方法 多智能体机器学习，适合学习和实践的著作,（加）霍华德M施瓦兹 /2017-07-10  /机械工业出版社,?54.50,width: 80%;,731条评论
